 SEN.       AKIN KAMAR BABALOLA ODUNSI, All Progressives Congress, OGUN
 SEN.       ROBERT AJAYI BOROFFICE, All Progressives Congress, ONDO
 SEN.       AKINYELURE PATRICK AYO, LABOUR, ONDO
 SEN.       KUNLE  BOLUWAJI, LABOUR, ONDO
 SEN.       OLUSOLA  ADEYEYE, All Progressives Congress, OSUN
 SEN.       OMOWORARE BABAJIDE CHRISTOPHER, All Progressives Congress, OSUN
 SEN.       MUDASIRU OYETUNDE HUSSAINI, All Progressives Congress, OSUN
 SEN.       AYOADE ADEMOLA ADESEUN, All Progressives Congress, OYO
 SEN.       AYOOLA HOSEA AGBOOLA  , Peoples Democratic Party, OYO
 SEN.       OLUFEMI AKINOLA LANLEHIN, All Progressives Congress, OYO
 SEN.       VICTOR RAMPYAL LAR, Peoples Democratic Party, PLATEAU
 SEN.       JOSHUA CHIBI DARIYE, LABOUR, PLATEAU
 SEN.       GYANG  PWAJOK, Peoples Democratic Party, PLATEAU
 SEN.       GEORGE THOMPSON SEKIBO , Peoples Democratic Party, RIVERS
 SEN.       MAGNUS NGEI ABE, All Progressives Congress, RIVERS
 SEN.       WILSON ASINOBI AKE, All Progressives Congress, RIVERS
 SEN.        AHMAD MUHAMMAD   MACCIDO, Peoples Democratic Party, SOKOTO
 SEN.        UMAR   DAHIRU , All Progressives Congress, SOKOTO
 SEN.       IBRAHIM  ABDULLAHI  GOBIR, All Progressives Congress, SOKOTO
 SEN.       EMMANUEL  BWACHA CON, Peoples Democratic Party, TARABA
 SEN.       ABUBAKAR UMAR TUTARE, Peoples Democratic Party, TARABA
 SEN.       AISHA JUMMAI ALHASSAN, All Progressives Congress, TARABA
 SEN.       AHMED IBRAHIM LAWAN, All Progressives Congress, YOBE
 SEN.       BUKAR ABBA IBRAHIM, All Progressives Congress, YOBE
 SEN.       ALKALI ABDULKADIR JAFERE, All Progressives Congress, YOBE
 SEN.       AHMAD  RUFAI  SANI , All Progressives Congress, ZAMFARA
 SEN.       SAHABI ALHAJI YAU, Peoples Democratic Party, ZAMFARA
 SEN.       KABIR GARBA M., All Nigeria Peoples Party, ZAMFARA
