SEN. ABUBAKAR  ATIKU,BAGUDU,Kebbi,Kebbi Central (Senatorial District),Peoples Democratic Party
SEN. ISAH MOHAMMED,GALAUDU,Kebbi,Kebbi North (Senatorial District),Peoples Democratic Party
SEN. MOHAMMED,MAGORO,Kebbi,Kebbi South (Senatorial District),Peoples Democratic Party
SEN. SMART,ADEYEMI,Kogi,Kogi West  (Senatorial District),Peoples Democratic Party
SEN. NURUDEEN,ABATEMI USMAN,Kogi,Kogi Central (Senatorial District),Peoples Democratic Party
SEN. ATTAI AIDOKO ALI,USMAN,Kogi,Kogi East (Senatorial District),All Progressives Congress
SEN. SIMEON,AJIBOLA,Kwara,Kwara South (Senatorial District),Peoples Democratic Party
SEN. MOHAMMED SHABA,LAFIAGI,Kwara,Kwara North (Senatorial District),All Progressives Congress
SEN. ABUBAKAR BUKOLA,SARAKI,Kwara,Kwara Central (Senatorial District),All Progressives Congress
SEN. GANIYU  OLANREWAJU,SOLOMON,Lagos,Lagos West (Senatorial District),All Progressives Congress
SEN. OLUREMI,TINUBU,Lagos,Lagos Central (Senatorial District),All Progressives Congress
SEN. GBENGA  BAREEHU,ASHAFA,Lagos,Lagos East (Senatorial District),All Progressives Congress
SEN. SULEIMAN ASONYA,ADOKWE,Nasarawa,Nasarawa South  (Senatorial District),Peoples Democratic Party
SEN. ABDULAHI,ADAMU,Nasarawa,Nasarawa West (Senatorial District),All Progressives Congress
SEN. SOLOMON SUNDAY AKUKU,EWUGA,Nasarawa,Nasarawa North (Senatorial District),All Progressives Congress
SEN.  ZAYNAB  ABDULKADIR,KURE,Niger,Niger South (Senatorial District),Peoples Democratic Party
SEN. NUHU. S,ZAGBAYI,Niger,Niger East (Senatorial District),Peoples Democratic Party
SEN. IBRAHIM,MUSA,Niger,Niger North (Senatorial District),All Progressives Congress
SEN. OLUGBENGA OBADARA,ONAOLAPO,Ogun,Ogun Central (Senatorial District),All Progressives Congress
SEN.  ADEGBENGA   KAKA,SEFIU,Ogun,Ogun East (Senatorial District),All Progressives Congress
SEN. AKIN KAMAR BABALOLA,ODUNSI,Ogun,Ogun West (Senatorial District),All Progressives Congress
SEN. ROBERT AJAYI,BOROFFICE,Ondo,Ondo North (Senatorial District),All Progressives Congress
SEN. AKINYELURE PATRICK,AYO,Ondo,Ondo Central (Senatorial District),LABOUR
SEN. KUNLE,BOLUWAJI,Ondo,Ondo South (Senatorial District),LABOUR
SEN. OLUSOLA,ADEYEYE,Osun,Osun Central (Senatorial District),All Progressives Congress
SEN. OMOWORARE BABAJIDE,CHRISTOPHER,Osun ,Osun East (Senatorial District),All Progressives Congress
SEN. MUDASIRU OYETUNDE,HUSSAINI,Osun,Osun West (Senatorial District),All Progressives Congress
SEN. AYOADE ADEMOLA,ADESEUN,Oyo,Oyo Central (Senatorial District),All Progressives Congress
SEN. AYOOLA HOSEA,AGBOOLA,Oyo,Oyo North (Senatorial District),Peoples Democratic Party
SEN. OLUFEMI AKINOLA,LANLEHIN,Oyo,Oyo South (Senatorial District),All Progressives Congress
SEN. VICTOR RAMPYAL,LAR,Plateau,Plateau South (Senatorial District),Peoples Democratic Party
SEN. JOSHUA CHIBI,DARIYE,Plateau,Plateau Central (Senatorial District),LABOUR
SEN. GYANG,PWAJOK,Plateau,Plateau North (Senatorial District),Peoples Democratic Party
SEN. GEORGE THOMPSON,SEKIBO,Rivers,Rivers East (Senatorial District),Peoples Democratic Party
SEN. MAGNUS NGEI,ABE,Rivers,Rivers South East (Senatorial District),All Progressives Congress
SEN. WILSON ASINOBI,AKE,Rivers,Rivers West (Senatorial District),All Progressives Congress
SEN.  AHMAD MUHAMMAD,MACCIDO,Sokoto,Sokoto North  (Senatorial District),Peoples Democratic Party
SEN.  UMAR,DAHIRU,Sokoto,Sokoto South (Senatorial District),All Progressives Congress
SEN. IBRAHIM  ABDULLAHI,GOBIR,Sokoto,Sokoto East (Senatorial District),All Progressives Congress
SEN. EMMANUEL,BWACHA CON,Taraba,Taraba South (Senatorial District),Peoples Democratic Party
SEN. ABUBAKAR UMAR,TUTARE,Taraba,Taraba Central (Senatorial District),Peoples Democratic Party
SEN. AISHA JUMMAI,ALHASSAN,Taraba,Taraba North (Senatorial District),All Progressives Congress
SEN. AHMED IBRAHIM,LAWAN,Yobe,Yobe North  (Senatorial District),All Progressives Congress
SEN. BUKAR ABBA,IBRAHIM,Yobe,Yobe East  (Senatorial District),All Progressives Congress
SEN. ALKALI ABDULKADIR,JAFERE,Yobe,Yobe South (Senatorial District),All Progressives Congress
SEN. AHMAD  RUFAI,SANI,Zamfara,Zamfara West (Senatorial District),All Progressives Congress
SEN. SAHABI ALHAJI,YAU,Zamfara,Zamfara North (Senatorial District),Peoples Democratic Party
SEN. KABIR GARBA,M.,Zamfara,Zamfara Central (Senatorial District),All Nigeria Peoples Party
