HON. OGBABURHON OKPOVIEKPURAI AUSTIN, Democratic Peoples Party, DELTA
HON. NWOKOLO ONYEMECHI VICTOR, Peoples Democratic Party, DELTA
HON. EMEYESE SUNDAY AKPODIOGAGA, Peoples Democratic Party, DELTA
HON. DANIEL ORITSEGBUBEMI REYEMEJU, Peoples Democratic Party, DELTA
HON. LEONARD OKUWEH OGOR, Peoples Democratic Party, DELTA
HON. MUTU NICHOLAS EBOMO, Peoples Democratic Party, DELTA
HON. NDUDI GODWIN ELUMELU, Peoples Democratic Party, DELTA
HON. EVELYN OMAVOWAN OBORO, Peoples Democratic Party, DELTA
HON. ENEKOROGHA PENAWEI FRANCIS, Peoples Democratic Party, DELTA
HON. OSSAI NICHOLAS OSSAI, Peoples Democratic Party, DELTA
HON. OKWURU CHUKWUEMEKA TOBIAS, Peoples Democratic Party, EBONYI
HON. LINUS OKORIE, Peoples Democratic Party, EBONYI
HON. OMO CHRISTOPHER ISU , Peoples Democratic Party, EBONYI
HON. SYLVESTER O OGBAGA , Peoples Democratic Party, EBONYI
HON. PETER OGE ALI, Peoples Democratic Party, EBONYI
HON. PETER EDEH OYEMAECHI, All Progressives Congress, EBONYI
HON. JIM AIKU ADUN, All Progressives Congress, EDO
HON. PALLY ISUMAFE OBOKHUAIME IRIASE, All Progressives Congress, EDO
HON. PETER OHIOZOJEH AKPATASON , All Progressives Congress, EDO
HON. NOSAKHARE ISAAC OSAHON, All Progressives Congress, EDO
HON. ABUBAKAR ESHIOKPEK MOMOH, All Progressives Congress, EDO
HON. RAZAQ BELLO-OSAGIE, All Progressives Congress, EDO
HON. PATRICK A. IKHARIALE, Peoples Democratic Party, EDO
HON. FRIDAY ITULAH, Peoples Democratic Party, EDO
HON. SAMSON RAPHEAL OSAGIE, All Progressives Congress, EDO
HON. OYETUNDE OLADIMEJI OJO, All Progressives Congress, EKITI
HON. BAMIDELE AYODELE FAPARUSI, All Progressives Congress, EKITI
HON. ABIMBOLA OLUWAFEMI DARAMOLA, All Progressives Congress, EKITI
HON. MICHAEL OPEYEMI BAMIDELE, Labour, EKITI
HON. ROBINSON GBADEBO AJIBOYE, All Progressives Congress, EKITI
HON. ABIOSE IFEOLUWA AROWOSOGE, All Progressives Congress, EKITI
HON. STELLA UCHENWA OBIAGELI NGWU, Peoples Democratic Party, ENUGU
HON. TOBY OKECHUKWU TOBY, Peoples Democratic Party, ENUGU
HON. OFORBUIKE GREGORY CHUKWUEGBO, Peoples Democratic Party, ENUGU
HON. ASADU PATRICK OZIOKOJA, Peoples Democratic Party, ENUGU
HON. OGBUEFI ORA OZOMGBACHI, Peoples Democratic Party, ENUGU
HON. PEACE UZOAMAKA NNAJI, Peoples Democratic Party, ENUGU
HON. UGWUANYI IFEANYI, Peoples Democratic Party, ENUGU
HON. KINGSLEY EBENYI, Peoples Democratic Party, ENUGU
HON. ISAH DOBI EGAH, Peoples Democratic Party, FCT
HON. ZAPHANIAH JISALO BITRUS, Peoples Democratic Party, FCT
HON. KHAMISU MAILANTARKI AHMED, All Progressives Congress, GOMBE
HON. YUSUF SWA MANU, Peoples Democratic Party, GOMBE
HON. USMAN BELLO KUMO, Peoples Democratic Party, GOMBE
HON. BINTA MAIGARI BELLO, Peoples Democratic Party, GOMBE
HON. SHU'AIBU UMAR GALADIMA, Peoples Democratic Party, GOMBE
HON. UMAR SULEIMAN NAFADA AHMED, Peoples Democratic Party, GOMBE
HON. IRONA GERALD ALPHONSUS, Peoples Democratic Party, IMO
HON. BETHEL NNAEMEKA AMADI, Peoples Democratic Party, IMO
HON. CHUKWUEMEKA NKEM IHEDIOHA, Peoples Democratic Party, IMO
HON. EDDIE MBADIWE IFEANYICHUKWU, All Progressives Grand Alliance, IMO
HON. CHUKWUDI JONES VICTOR ONYERERI, Peoples Democratic Party, IMO
